index,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
37,aa,AA-649-ORD-SNA,01:30 PM,01:30 PM,03:50 PM,03:50 PM
38,aa,AA-3063-SLC-LAX,08:20 PM,08:39 PM,09:20 PM,09:20 PM
39,aa,AA-3804-PHL-ORD,02:35 PM,02:44 PM,04:05 PM,03:43 PM
40,aa,AA-1917-JFK-MCO,02:55 PM,03:27 PM,05:55 PM,05:43 PM
41,aa,AA-2268-PHX-ORD,07:15 AM,07:22 AM,11:35 AM,11:06 AM
42,aa,AA-4277-CVG-JFK,12:10 PM,12:10 PM,02:15 PM,01:43 PM
43,aa,AA-789-ORD-DEN,01:05 PM,01:19 PM,02:35 PM,03:13 PM
44,aa,AA-415-BOS-ORD,08:35 AM,08:56 AM,10:40 AM,10:16 AM
45,aa,AA-85-JFK-SFO,03:05 PM,03:36 PM,06:30 PM,06:43 PM
46,aa,AA-1544-SAN-ORD,11:25 AM,11:40 AM,05:25 PM,04:56 PM
47,aa,AA-3786-IAH-ORD,04:00 PM,04:12 PM,06:40 PM,06:15 PM
48,aa,AA-222-LAX-BOS,07:10 AM,07:31 AM,03:30 PM,03:14 PM
49,aa,AA-3809-PHX-LAX,06:00 AM,06:10 AM,06:40 AM,06:19 AM
50,aa,AA-59-JFK-SFO,07:10 AM,07:39 AM,10:45 AM,11:12 AM
51,helloflight,AA-3859-IAH-ORD,07:10 AM,07:16 AM,09:40 AM,09:32 AM
52,helloflight,CO-1586-IAH-MCO,07:00 PM,07:14 PM,10:15 PM,10:29 PM
53,helloflight,AA-518-MIA-JFK,06:40 AM,06:54 AM,09:25 AM,09:28 AM
54,helloflight,UA-397-JFK-SFO,08:00 AM,08:29 AM,11:55 AM,11:58 AM
55,helloflight,UA-3925-IAD-ORF,08:41 AM,08:42 AM,09:54 AM,09:43 AM
56,helloflight,AA-1733-ORD-PHX,07:45 PM,07:58 PM,10:30 PM,10:30 PM
57,helloflight,UA-2830-MCO-CLT,03:27 PM,03:27 PM,05:05 PM,05:17 PM
58,helloflight,CO-58-DEN-IAH,11:25 AM,11:32 AM,02:50 PM,03:31 PM
59,helloflight,AA-1544-SAN-ORD,11:25 AM,11:40 AM,05:25 PM,04:56 PM
60,helloflight,UA-5487-SFO-MRY,10:39 AM,10:33 AM,11:19 AM,11:21 AM
61,helloflight,AA-204-LAX-MCO,11:25 PM,11:25 PM,06:55 AM,06:55 AM
62,helloflight,UA-414-LAX-SFO,06:00 AM,05:56 AM,07:23 AM,07:17 AM
63,helloflight,CO-1614-LAX-IAH,12:30 AM,12:41 AM,05:35 AM,05:26 AM
64,helloflight,UA-2726-FLL-PHL,04:00 PM,04:00 PM,06:46 PM,06:28 PM
65,helloflight,CO-52-IAH-LAX,07:35 AM,07:29 AM,09:21 AM,09:14 AM
66,helloflight,CO-1090-BOS-IAH,09:45 AM,10:19 AM,01:16 PM,01:19 PM
67,helloflight,AA-616-DFW-DTW,09:05 AM,10:10 AM,12:35 PM,01:27 PM
68,helloflight,UA-3515-IAD-MSP,08:15 AM,08:12 AM,10:06 AM,09:56 AM
69,helloflight,AA-3468-CVG-MIA,07:00 AM,07:25 AM,09:55 AM,09:45 AM
70,helloflight,AA-484-DFW-MIA,04:15 PM,04:29 PM,07:55 PM,07:39 PM
71,helloflight,AA-1886-BOS-MIA,10:45 AM,10:55 AM,02:20 PM,01:40 PM
72,helloflight,CO-62-IAH-EWR,02:30 PM,02:48 PM,07:03 PM,07:10 PM
73,helloflight,CO-1561-PHX-IAH,08:05 AM,08:00 AM,11:35 AM,11:32 AM
74,helloflight,UA-2314-ATL-PHL,02:55 PM,02:55 PM,05:00 PM,04:47 PM
75,helloflight,AA-446-DFW-PHL,11:50 AM,12:12 PM,03:50 PM,04:09 PM
76,helloflight,CO-1023-IAH-DEN,11:40 AM,11:56 AM,01:17 PM,01:14 PM
77,helloflight,AA-466-IAH-MIA,06:00 AM,06:08 AM,09:20 AM,09:05 AM
78,helloflight,UA-3050-PHX-CLT,11:05 AM,11:30 AM,04:57 PM,05:05 PM
79,helloflight,CO-89-IAH-EWR,06:00 AM,06:02 AM,10:20 AM,10:27 AM
80,helloflight,CO-1088-CLE-IAH,08:40 AM,08:40 AM,10:54 AM,10:56 AM
81,helloflight,AA-1664-MIA-ATL,10:15 AM,10:18 AM,12:10 PM,11:56 AM
82,helloflight,AA-1279-DFW-PHX,01:00 PM,02:04 PM,02:35 PM,03:30 PM
83,helloflight,UA-854-SFO-IAH,07:53 AM,07:49 AM,01:39 PM,01:30 PM
84,helloflight,UA-382-IAD-LAX,12:30 PM,12:35 PM,03:19 PM,03:21 PM
85,helloflight,AA-4344-ORD-DTW,11:45 AM,12:13 PM,02:00 PM,02:10 PM
86,helloflight,UA-257-JFK-SFO,02:30 PM,02:26 PM,06:15 PM,05:42 PM
87,helloflight,UA-2945-PHL-CLT,12:00 AM,03:11 AM,01:45 PM,01:15 PM
88,helloflight,CO-63-EWR-IAH,05:25 PM,05:22 PM,08:22 PM,08:03 PM
89,helloflight,CO-47-IAH-LAX,07:10 PM,08:25 PM,08:56 PM,09:52 PM
90,helloflight,AA-2050-ORD-MIA,10:40 AM,11:05 AM,02:45 PM,02:46 PM
91,helloflight,UA-248-PHX-ORD,12:57 PM,01:32 PM,05:15 PM,05:34 PM
92,helloflight,AA-4330-CVG-ORD,03:35 PM,03:36 PM,04:00 PM,03:33 PM
93,helloflight,AA-1434-DFW-MCO,07:15 AM,07:21 AM,10:35 AM,10:36 AM
94,helloflight,AA-1640-MIA-MCO,06:30 PM,06:30 PM,07:25 PM,07:25 PM
95,helloflight,AA-4307-ORD-DTW,06:45 PM,06:55 PM,09:10 PM,08:53 PM
96,helloflight,AA-3-JFK-LAX,12:00 PM,12:11 PM,03:15 PM,03:16 PM
97,helloflight,CO-1694-LAX-IAH,07:15 PM,07:15 PM,12:21 AM,12:21 AM
98,helloflight,UA-843-LAX-ORD,01:55 PM,02:10 PM,07:53 PM,07:58 PM
99,helloflight,CO-1193-EWR-MCO,09:15 AM,09:14 AM,12:18 PM,12:09 PM
100,helloflight,AA-3842-MSP-ORD,06:00 AM,06:56 AM,07:30 AM,07:51 AM
101,helloflight,AA-643-MIA-ORD,07:10 AM,07:30 AM,09:35 AM,09:31 AM
102,helloflight,AA-1007-MIA-PHX,04:55 PM,05:08 PM,08:05 PM,07:55 PM
103,helloflight,AA-2525-DFW-MIA,07:25 AM,07:39 AM,11:10 AM,11:06 AM
104,helloflight,UA-2906-PHL-MCO,03:50 PM,04:28 PM,06:23 PM,06:38 PM
105,helloflight,UA-938-DEN-ORD,04:16 PM,04:15 PM,07:35 PM,07:36 PM
106,helloflight,AA-1221-MCO-ORD,08:00 PM,08:23 PM,09:45 PM,09:53 PM
107,helloflight,CO-16-LAX-EWR,10:25 AM,10:20 AM,06:44 PM,06:34 PM
108,helloflight,UA-2515-DFW-CLT,07:05 AM,07:05 AM,10:31 AM,10:47 AM
109,helloflight,AA-400-DFW-JFK,10:40 AM,11:01 AM,02:59 PM,03:04 PM
110,helloflight,UA-664-ORD-PHL,01:33 PM,01:31 PM,04:31 PM,04:23 PM
111,helloflight,AA-3756-ORD-SLC,12:15 PM,12:41 PM,02:45 PM,02:50 PM
112,helloflight,UA-37-EWR-MCO,01:29 PM,01:48 PM,04:17 PM,04:17 PM
113,helloflight,AA-1522-SFO-ORD,11:55 PM,11:55 PM,05:50 AM,05:50 AM
114,helloflight,UA-233-LAX-JFK,04:25 PM,04:25 PM,12:29 AM,12:29 AM
115,helloflight,AA-3823-LAX-DEN,09:00 PM,09:00 PM,12:15 AM,12:15 AM
116,helloflight,AA-2312-DFW-DTW,08:25 PM,08:25 PM,11:50 PM,11:50 PM
117,helloflight,AA-1165-JFK-MIA,06:59 AM,07:22 AM,10:34 AM,10:04 AM
118,helloflight,AA-431-MIA-SFO,08:35 AM,08:51 AM,11:50 AM,11:44 AM
119,helloflight,UA-3373-IAD-PHL,08:29 AM,08:26 AM,09:24 AM,09:13 AM
120,helloflight,AA-649-ORD-SNA,01:30 PM,01:30 PM,03:50 PM,03:50 PM
121,helloflight,CO-1250-MIA-IAH,02:53 PM,03:01 PM,04:48 PM,04:59 PM
122,helloflight,UA-6273-YYC-SFO,07:35 AM,07:27 AM,09:43 AM,08:45 AM
123,helloflight,UA-828-SFO-ORD,11:08 PM,11:08 PM,05:11 AM,05:11 AM
124,helloflight,CO-4888-IAH-DAL,05:30 PM,05:30 PM,06:40 PM,06:40 PM
125,helloflight,UA-858-PVG-SFO,01:45 PM,01:32 PM,08:27 AM,08:02 AM
126,helloflight,UA-2704-DTW-PHX,11:15 AM,11:15 AM,01:40 PM,02:00 PM
127,helloflight,AA-3063-SLC-LAX,08:20 PM,08:39 PM,09:20 PM,09:20 PM
128,helloflight,UA-2708-EWR-CLT,02:55 PM,02:55 PM,04:53 PM,04:44 PM
129,helloflight,UA-62-IAH-EWR,02:30 PM,02:48 PM,07:03 PM,07:10 PM
130,helloflight,UA-1500-IAH-GUA,08:55 AM,09:16 AM,11:45 AM,11:56 AM
131,helloflight,AA-3804-PHL-ORD,02:35 PM,02:44 PM,04:05 PM,03:43 PM
132,helloflight,AA-1917-JFK-MCO,02:55 PM,03:27 PM,05:55 PM,05:43 PM
133,helloflight,AA-2268-PHX-ORD,07:15 AM,07:22 AM,11:35 AM,11:06 AM
134,helloflight,AA-4277-CVG-JFK,12:10 PM,12:10 PM,02:15 PM,01:43 PM
135,helloflight,AA-2957-DFW-CVG,07:55 AM,08:04 AM,11:05 AM,11:01 AM
136,helloflight,UA-37-EDI-EWR,09:05 AM,08:52 AM,11:53 AM,12:09 PM
137,helloflight,AA-789-ORD-DEN,01:05 PM,01:19 PM,02:35 PM,03:13 PM
138,helloflight,AA-415-BOS-ORD,08:35 AM,08:56 AM,10:40 AM,10:16 AM
139,helloflight,AA-85-JFK-SFO,03:05 PM,03:36 PM,06:30 PM,06:43 PM
140,helloflight,AA-3979-CVG-ORD,07:30 AM,08:04 AM,08:00 AM,08:06 AM
141,helloflight,AA-3786-IAH-ORD,04:00 PM,04:12 PM,06:40 PM,06:15 PM
142,helloflight,AA-271-MIA-LAX,11:35 AM,11:52 AM,02:25 PM,02:27 PM
143,helloflight,CO-50-CLE-EWR,02:55 PM,03:31 PM,04:49 PM,05:26 PM
144,helloflight,UA-3099-PHX-PHL,11:55 AM,11:55 AM,06:17 PM,05:38 PM
145,helloflight,AA-4198-ORD-CLE,10:40 AM,10:54 AM,12:55 PM,12:50 PM
146,helloflight,AA-404-MIA-MCO,06:45 AM,06:57 AM,07:45 AM,07:40 AM
147,helloflight,CO-45-EWR-MIA,04:00 PM,03:58 PM,07:05 PM,06:36 PM
148,helloflight,AA-3809-PHX-LAX,06:00 AM,06:10 AM,06:40 AM,06:19 AM
149,helloflight,AA-59-JFK-SFO,07:10 AM,07:39 AM,10:45 AM,11:12 AM
150,helloflight,AA-222-LAX-BOS,07:10 AM,07:31 AM,03:30 PM,03:14 PM
151,boston,AA-3859-IAH-ORD,07:10 AM,07:16 AM,09:40 AM,09:32 AM
152,boston,CO-1586-IAH-MCO,07:00 PM,07:14 PM,10:15 PM,10:29 PM
153,boston,AA-518-MIA-JFK,06:40 AM,06:54 AM,09:25 AM,09:28 AM
154,boston,UA-397-JFK-SFO,08:00 AM,08:29 AM,11:55 AM,11:58 AM
155,boston,UA-3925-IAD-ORF,08:41 AM,08:42 AM,09:54 AM,09:43 AM
156,boston,AA-1733-ORD-PHX,07:45 PM,07:58 PM,10:30 PM,10:30 PM
157,boston,AA-3-JFK-LAX,12:00 PM,12:11 PM,03:15 PM,03:16 PM
158,boston,UA-2830-MCO-CLT,03:27 PM,03:27 PM,05:05 PM,05:17 PM
159,boston,CO-58-DEN-IAH,11:25 AM,11:32 AM,02:50 PM,03:31 PM
160,boston,UA-5487-SFO-MRY,10:39 AM,10:33 AM,11:19 AM,11:21 AM
161,boston,AA-204-LAX-MCO,11:25 PM,11:25 PM,06:55 AM,06:55 AM
162,boston,UA-414-LAX-SFO,06:00 AM,05:56 AM,07:23 AM,07:17 AM
163,boston,CO-1614-LAX-IAH,12:30 AM,12:41 AM,05:35 AM,05:26 AM
164,boston,UA-2726-FLL-PHL,04:00 PM,04:00 PM,06:46 PM,06:28 PM
165,boston,CO-52-IAH-LAX,07:35 AM,07:29 AM,09:21 AM,09:14 AM
166,boston,CO-1090-BOS-IAH,09:45 AM,10:19 AM,01:16 PM,01:19 PM
167,boston,AA-616-DFW-DTW,09:05 AM,10:10 AM,12:35 PM,01:27 PM
168,boston,UA-3515-IAD-MSP,08:15 AM,08:12 AM,10:06 AM,09:56 AM
169,boston,AA-3468-CVG-MIA,07:00 AM,07:25 AM,09:55 AM,09:45 AM
170,boston,AA-484-DFW-MIA,04:15 PM,04:29 PM,07:55 PM,07:39 PM
171,boston,AA-1886-BOS-MIA,10:45 AM,10:55 AM,02:20 PM,01:40 PM
172,boston,CO-62-IAH-EWR,02:30 PM,02:48 PM,07:03 PM,07:10 PM
173,boston,CO-1561-PHX-IAH,08:05 AM,08:00 AM,11:35 AM,11:32 AM
174,boston,UA-2314-ATL-PHL,02:55 PM,02:55 PM,05:00 PM,04:47 PM
175,boston,AA-446-DFW-PHL,11:50 AM,12:12 PM,03:50 PM,04:09 PM
176,boston,CO-1023-IAH-DEN,11:40 AM,11:56 AM,01:17 PM,01:14 PM
177,boston,AA-466-IAH-MIA,06:00 AM,06:08 AM,09:20 AM,09:05 AM
178,boston,UA-3050-PHX-CLT,11:05 AM,11:30 AM,04:57 PM,05:05 PM
179,boston,CO-89-IAH-EWR,06:00 AM,06:02 AM,10:20 AM,10:27 AM
180,boston,CO-1088-CLE-IAH,08:40 AM,08:40 AM,10:54 AM,10:56 AM
181,boston,AA-1664-MIA-ATL,10:15 AM,10:18 AM,12:10 PM,11:56 AM
182,boston,AA-1279-DFW-PHX,01:00 PM,02:04 PM,02:35 PM,03:30 PM
183,boston,UA-854-SFO-IAH,07:53 AM,07:49 AM,01:39 PM,01:30 PM
184,boston,UA-382-IAD-LAX,12:30 PM,12:35 PM,03:19 PM,03:21 PM
185,boston,AA-4344-ORD-DTW,11:45 AM,12:13 PM,02:00 PM,02:10 PM
186,boston,UA-257-JFK-SFO,02:30 PM,02:26 PM,06:15 PM,05:42 PM
187,boston,UA-2945-PHL-CLT,12:00 AM,03:11 AM,01:45 PM,01:15 PM
188,boston,CO-63-EWR-IAH,05:25 PM,05:22 PM,08:22 PM,08:03 PM
189,boston,CO-47-IAH-LAX,07:10 PM,08:25 PM,08:56 PM,09:52 PM
190,boston,AA-2050-ORD-MIA,10:40 AM,11:05 AM,02:45 PM,02:46 PM
191,boston,UA-248-PHX-ORD,12:57 PM,01:32 PM,05:15 PM,05:34 PM
192,boston,AA-4330-CVG-ORD,03:35 PM,03:36 PM,04:00 PM,03:33 PM
193,boston,AA-1434-DFW-MCO,07:15 AM,07:21 AM,10:35 AM,10:36 AM
194,boston,AA-1640-MIA-MCO,06:30 PM,06:30 PM,07:25 PM,07:25 PM
195,boston,AA-4307-ORD-DTW,06:45 PM,06:55 PM,09:10 PM,08:53 PM
196,boston,CO-1694-LAX-IAH,07:15 PM,07:15 PM,12:21 AM,12:21 AM
197,boston,UA-843-LAX-ORD,01:55 PM,02:10 PM,07:53 PM,07:58 PM
198,boston,CO-1193-EWR-MCO,09:15 AM,09:14 AM,12:18 PM,12:09 PM
199,boston,AA-3842-MSP-ORD,06:00 AM,06:56 AM,07:30 AM,07:51 AM
200,boston,AA-643-MIA-ORD,07:10 AM,07:30 AM,09:35 AM,09:31 AM
201,boston,AA-1007-MIA-PHX,04:55 PM,05:08 PM,08:05 PM,07:55 PM
202,boston,UA-2906-PHL-MCO,03:50 PM,04:28 PM,06:23 PM,06:38 PM
203,boston,UA-938-DEN-ORD,04:16 PM,04:15 PM,07:35 PM,07:36 PM
204,boston,AA-1221-MCO-ORD,08:00 PM,08:23 PM,09:45 PM,09:53 PM
205,boston,CO-16-LAX-EWR,10:25 AM,10:20 AM,06:44 PM,06:34 PM
206,boston,UA-2515-DFW-CLT,07:05 AM,07:05 AM,10:31 AM,10:47 AM
207,boston,AA-400-DFW-JFK,10:40 AM,11:01 AM,02:59 PM,03:04 PM
208,boston,UA-664-ORD-PHL,01:33 PM,01:31 PM,04:31 PM,04:23 PM
209,boston,AA-3756-ORD-SLC,12:15 PM,12:41 PM,02:45 PM,02:50 PM
210,boston,UA-37-EWR-MCO,01:29 PM,01:48 PM,04:17 PM,04:17 PM
211,boston,AA-1522-SFO-ORD,11:55 PM,11:55 PM,05:50 AM,05:50 AM
212,boston,UA-233-LAX-JFK,04:25 PM,04:25 PM,12:29 AM,12:29 AM
213,boston,AA-3823-LAX-DEN,09:00 PM,09:00 PM,12:15 AM,12:15 AM
214,boston,AA-2312-DFW-DTW,08:25 PM,08:25 PM,11:50 PM,11:50 PM
215,boston,AA-1165-JFK-MIA,06:59 AM,07:22 AM,10:34 AM,10:04 AM
216,boston,AA-431-MIA-SFO,08:35 AM,08:51 AM,11:50 AM,11:44 AM
217,boston,UA-3373-IAD-PHL,08:29 AM,08:26 AM,09:24 AM,09:13 AM
218,boston,AA-649-ORD-SNA,01:30 PM,01:30 PM,03:50 PM,03:50 PM
219,boston,CO-1250-MIA-IAH,02:53 PM,03:01 PM,04:48 PM,04:59 PM
220,boston,UA-6273-YYC-SFO,07:35 AM,07:27 AM,09:43 AM,08:45 AM
221,boston,UA-828-SFO-ORD,11:08 PM,11:08 PM,05:11 AM,05:11 AM
222,boston,CO-4888-IAH-DAL,05:30 PM,05:30 PM,06:40 PM,06:40 PM
223,boston,UA-858-PVG-SFO,01:45 PM,01:32 PM,08:27 AM,08:02 AM
224,boston,UA-2704-DTW-PHX,11:15 AM,11:15 AM,01:40 PM,02:00 PM
225,boston,AA-3063-SLC-LAX,08:20 PM,08:39 PM,09:20 PM,09:20 PM
226,boston,UA-2708-EWR-CLT,02:55 PM,02:55 PM,04:53 PM,04:44 PM
227,boston,UA-62-IAH-EWR,02:30 PM,02:48 PM,07:03 PM,07:10 PM
228,boston,UA-1500-IAH-GUA,08:55 AM,09:16 AM,11:45 AM,11:56 AM
229,boston,AA-3804-PHL-ORD,02:35 PM,02:44 PM,04:05 PM,03:43 PM
230,boston,AA-1917-JFK-MCO,02:55 PM,03:27 PM,05:55 PM,05:43 PM
231,boston,AA-2268-PHX-ORD,07:15 AM,07:22 AM,11:35 AM,11:06 AM
232,boston,AA-4277-CVG-JFK,12:10 PM,12:10 PM,02:15 PM,01:43 PM
233,boston,AA-2957-DFW-CVG,07:55 AM,08:04 AM,11:05 AM,11:01 AM
234,boston,UA-37-EDI-EWR,09:05 AM,08:52 AM,11:53 AM,12:09 PM
235,boston,AA-789-ORD-DEN,01:05 PM,01:19 PM,02:35 PM,03:13 PM
236,boston,AA-415-BOS-ORD,08:35 AM,08:56 AM,10:40 AM,10:16 AM
237,boston,AA-85-JFK-SFO,03:05 PM,03:36 PM,06:30 PM,06:43 PM
238,boston,AA-3979-CVG-ORD,07:30 AM,08:04 AM,08:00 AM,08:06 AM
239,boston,AA-1544-SAN-ORD,11:25 AM,11:40 AM,05:25 PM,04:56 PM
240,boston,AA-3786-IAH-ORD,04:00 PM,04:12 PM,06:40 PM,06:15 PM
241,boston,AA-271-MIA-LAX,11:35 AM,11:52 AM,02:25 PM,02:27 PM
242,boston,AA-2525-DFW-MIA,07:25 AM,07:39 AM,11:10 AM,11:06 AM
243,boston,CO-50-CLE-EWR,02:55 PM,03:31 PM,04:49 PM,05:26 PM
244,boston,UA-3099-PHX-PHL,11:55 AM,11:55 AM,06:17 PM,05:38 PM
245,boston,AA-4198-ORD-CLE,10:40 AM,10:54 AM,12:55 PM,12:50 PM
246,boston,AA-404-MIA-MCO,06:45 AM,06:57 AM,07:45 AM,07:40 AM
247,boston,CO-45-EWR-MIA,04:00 PM,03:58 PM,07:05 PM,06:36 PM
248,boston,AA-3809-PHX-LAX,06:00 AM,06:10 AM,06:40 AM,06:19 AM
249,boston,AA-59-JFK-SFO,07:10 AM,07:39 AM,10:45 AM,11:12 AM
250,boston,AA-222-LAX-BOS,07:10 AM,07:31 AM,03:30 PM,03:14 PM
251,weather,AA-3859-IAH-ORD,07:10 AM,07:16 AM,09:40 AM,09:32 AM
252,weather,AA-518-MIA-JFK,06:40 AM,06:54 AM,09:25 AM,09:28 AM
253,weather,UA-397-JFK-SFO,08:00 AM,08:29 AM,11:55 AM,11:58 AM
254,weather,UA-3925-IAD-ORF,08:41 AM,08:42 AM,09:54 AM,09:43 AM
255,weather,AA-1733-ORD-PHX,07:45 PM,07:58 PM,10:30 PM,10:30 PM
256,weather,AA-1640-MIA-MCO,06:30 PM,06:30 PM,07:25 PM,07:25 PM
257,weather,UA-2830-MCO-CLT,03:27 PM,03:27 PM,05:05 PM,05:17 PM
258,weather,CO-58-DEN-IAH,11:25 AM,11:32 AM,02:50 PM,03:31 PM
259,weather,AA-1544-SAN-ORD,11:25 AM,11:40 AM,05:25 PM,04:56 PM
260,weather,UA-5487-SFO-MRY,10:39 AM,10:33 AM,11:19 AM,11:21 AM
261,weather,AA-204-LAX-MCO,11:25 PM,11:25 PM,06:55 AM,06:55 AM
262,weather,UA-414-LAX-SFO,06:00 AM,05:56 AM,07:23 AM,07:17 AM
263,weather,AA-3756-ORD-SLC,12:15 PM,12:41 PM,02:45 PM,02:50 PM
264,weather,UA-2726-FLL-PHL,04:00 PM,04:00 PM,06:46 PM,06:28 PM
265,weather,CO-1090-BOS-IAH,09:45 AM,10:19 AM,01:16 PM,01:19 PM
266,weather,AA-3468-CVG-MIA,07:00 AM,07:25 AM,09:55 AM,09:45 AM
267,weather,UA-3515-IAD-MSP,08:15 AM,08:12 AM,10:06 AM,09:56 AM
268,weather,AA-484-DFW-MIA,04:15 PM,04:29 PM,07:55 PM,07:39 PM
269,weather,CO-62-IAH-EWR,02:30 PM,02:48 PM,07:03 PM,07:10 PM
270,weather,AA-446-DFW-PHL,11:50 AM,12:12 PM,03:50 PM,04:09 PM
271,weather,AA-466-IAH-MIA,06:00 AM,06:08 AM,09:20 AM,09:05 AM
272,weather,UA-3050-PHX-CLT,11:05 AM,11:30 AM,04:57 PM,05:05 PM
273,weather,CO-89-IAH-EWR,06:00 AM,06:02 AM,10:20 AM,10:27 AM
274,weather,CO-1088-CLE-IAH,08:40 AM,08:40 AM,10:54 AM,10:56 AM
275,weather,AA-1886-BOS-MIA,10:45 AM,10:55 AM,02:20 PM,01:40 PM
276,weather,AA-1664-MIA-ATL,10:15 AM,10:18 AM,12:10 PM,11:56 AM
277,weather,AA-3979-CVG-ORD,07:30 AM,08:04 AM,08:00 AM,08:06 AM
278,weather,AA-1279-DFW-PHX,01:00 PM,02:04 PM,02:35 PM,03:30 PM
279,weather,CO-1614-LAX-IAH,12:30 AM,12:41 AM,05:35 AM,05:26 AM
280,weather,AA-616-DFW-DTW,09:05 AM,10:10 AM,12:35 PM,01:27 PM
281,weather,AA-4344-ORD-DTW,11:45 AM,12:13 PM,02:00 PM,02:10 PM
282,weather,UA-2945-PHL-CLT,12:00 AM,03:11 AM,01:45 PM,01:15 PM
283,weather,AA-2525-DFW-MIA,07:25 AM,07:39 AM,11:10 AM,11:06 AM
284,weather,AA-271-MIA-LAX,11:35 AM,11:52 AM,02:25 PM,02:27 PM
285,weather,AA-2050-ORD-MIA,10:40 AM,11:05 AM,02:45 PM,02:46 PM
286,weather,AA-1434-DFW-MCO,07:15 AM,07:21 AM,10:35 AM,10:36 AM
287,weather,CO-1561-PHX-IAH,08:05 AM,08:00 AM,11:35 AM,11:32 AM
288,weather,AA-4307-ORD-DTW,06:45 PM,06:55 PM,09:10 PM,08:53 PM
289,weather,AA-3-JFK-LAX,12:00 PM,12:11 PM,03:15 PM,03:16 PM
290,weather,CO-1694-LAX-IAH,07:15 PM,07:15 PM,12:21 AM,12:21 AM
291,weather,UA-843-LAX-ORD,01:55 PM,02:10 PM,07:53 PM,07:58 PM
292,weather,CO-1193-EWR-MCO,09:15 AM,09:14 AM,12:18 PM,12:09 PM
293,weather,AA-3842-MSP-ORD,06:00 AM,06:56 AM,07:30 AM,07:51 AM
294,weather,AA-643-MIA-ORD,07:10 AM,07:30 AM,09:35 AM,09:31 AM
